Car_id,Company,Model,Engine,Transmission,Color,Body Style
1,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,SUV
2,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,SUV
3,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,Passenger
4,Toyota,Celica,Overhead Camshaft,Manual,Pale White,SUV
5,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback
6,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,Hatchback
7,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,Passenger
8,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
9,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop
10,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
11,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV
12,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop
13,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,SUV
14,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback
15,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan
16,Subaru,Forester,Overhead Camshaft,Manual,Pale White,Hatchback
17,Hyundai,Accent,Overhead Camshaft,Manual,Black,Hatchback
18,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
19,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
20,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
21,Toyota,4Runner,Overhead Camshaft,Manual,Black,Sedan
22,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop
23,Audi,A4,Overhead Camshaft,Manual,Pale White,Hardtop
24,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
25,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
26,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
27,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,Passenger
28,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,Hatchback
29,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,Hatchback
30,Saturn,LW,Overhead Camshaft,Manual,Pale White,Hatchback
31,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,Sedan
32,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,Hatchback
33,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
34,Honda,Civic,Overhead Camshaft,Manual,Black,Hatchback
35,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,Passenger
36,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
37,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
38,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback
39,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
40,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,Passenger
41,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan
42,Volvo,S80,Overhead Camshaft,Manual,Pale White,Sedan
43,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,Passenger
44,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback
45,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,Hatchback
46,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback
47,BMW,323i,Overhead Camshaft,Manual,Pale White,Hatchback
48,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback
49,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback
50,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
51,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback
52,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop
53,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback
54,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop
55,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV
56,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger
57,Volvo,C70,Overhead Camshaft,Manual,Black,Hatchback
58,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,SUV
59,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback
60,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,Passenger
61,Toyota,Tacoma,Overhead Camshaft,Manual,Black,Hardtop
62,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback
63,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,Hatchback
64,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,SUV
65,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
66,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback
67,Dodge,Viper,Overhead Camshaft,Manual,Black,SUV
68,Toyota,Sienna,Overhead Camshaft,Manual,Black,Passenger
69,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
70,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback
71,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV
72,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,Passenger
73,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,SUV
74,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
75,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,Passenger
76,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,SUV
77,Lincoln,Town car,Overhead Camshaft,Manual,Black,Hatchback
78,Ford,Focus,Overhead Camshaft,Manual,Black,Hardtop
79,Audi,A6,Overhead Camshaft,Manual,Black,SUV
80,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback
81,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop
82,Ford,Mustang,Overhead Camshaft,Manual,Pale White,Hatchback
83,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan
