Car_id,Dealer_Name,Dealer_No ,Phone,Dealer_Region
1,Buddy Storbeck's Diesel Service Inc,06457-3834,8264678,Middletown
2,C & M Motors Inc,60504-7114,6848189,Aurora
3,Capitol KIA,38701-8047,7298798,Greenville
4,Chrysler of Tri-Cities,99301-3882,6257557,Pasco
5,Chrysler Plymouth,53546-9427,7081483,Janesville
6,Classic Chevy,85257-3102,7315216,Scottsdale
7,Clay Johnson Auto Sales,78758-7841,7727879,Austin
8,U-Haul CO,78758-7841,6206512,Austin
9,Rabun Used Car Sales,85257-3102,7194857,Pasco
10,Rabun Used Car Sales,85257-3102,7836892,Scottsdale
11,Race Car Help,78758-7841,7995489,Austin
12,Race Car Help,78758-7841,7288103,Pasco
13,Saab-Belle Dodge,60504-7114,6842408,Aurora
14,Scrivener Performance Engineering,38701-8047,7558767,Greenville
15,Buddy Storbeck's Diesel Service Inc,06457-3834,7677191,Middletown
16,C & M Motors Inc,60504-7114,8431908,Aurora
17,Capitol KIA,38701-8047,7814646,Greenville
18,Chrysler of Tri-Cities,99301-3882,7456650,Pasco
19,Chrysler Plymouth,53546-9427,7627010,Janesville
20,Classic Chevy,85257-3102,6736704,Scottsdale
21,Clay Johnson Auto Sales,78758-7841,7889827,Austin
22,Classic Chevy,85257-3102,6183219,Austin
23,Diehl Motor CO Inc,06457-3834,8097778,Middletown
24,Star Enterprises Inc,99301-3882,7959858,Pasco
25,Suburban Ford,53546-9427,8570849,Janesville
26,Tri-State Mack Inc,85257-3102,8520534,Scottsdale
27,U-Haul CO,78758-7841,6362556,Austin
28,Progressive Shippers Cooperative Association No,53546-9427,6281210,Janesville
29,Race Car Help,78758-7841,6292720,Janesville
30,Ryder Truck Rental and Leasing,06457-3834,7698986,Scottsdale
31,Saab-Belle Dodge,60504-7114,8847858,Austin
32,Scrivener Performance Engineering,38701-8047,8344679,Middletown
33,Star Enterprises Inc,99301-3882,6827044,Aurora
34,Tri-State Mack Inc,85257-3102,7954038,Greenville
35,U-Haul CO,78758-7841,7400390,Pasco
36,Diehl Motor CO Inc,06457-3834,7153628,Middletown
